                     List of relations
 Schema |              Name              | Type  |  Owner   
--------+--------------------------------+-------+----------
 public | academic_sessions              | table | postgres
 public | accessions                     | table | postgres
 public | address_book_items             | table | postgres
 public | address_books                  | table | postgres
 public | answerchoices                  | table | postgres
 public | appraisals                     | table | postgres
 public | asset_defects                  | table | postgres
 public | asset_disposals                | table | postgres
 public | asset_loans                    | table | postgres
 public | asset_losses                   | table | postgres
 public | asset_placements               | table | postgres
 public | assetcategories                | table | postgres
 public | assetlosses                    | table | postgres
 public | assetnums                      | table | postgres
 public | assets                         | table | postgres
 public | assetsearches                  | table | postgres
 public | assettracks                    | table | postgres
 public | attendances                    | table | postgres
 public | bankaccounts                   | table | postgres
 public | banks                          | table | postgres
 public | books                          | table | postgres
 public | booksearches                   | table | postgres
 public | booleananswers                 | table | postgres
 public | booleanchoices                 | table | postgres
 public | bulletins                      | table | postgres
 public | cofiles                        | table | postgres
 public | counsellings                   | table | postgres
 public | curriculumsearches             | table | postgres
 public | disposals                      | table | postgres
 public | documents                      | table | postgres
 public | documents_staffs               | table | postgres
 public | documentsearches               | table | postgres
 public | employgrades                   | table | postgres
 public | evactivities                   | table | postgres
 public | events                         | table | postgres
 public | examanalyses                   | table | postgres
 public | examanalysissearches           | table | postgres
 public | examanswers                    | table | postgres
 public | exammakers                     | table | postgres
 public | exammakers_examquestions       | table | postgres
 public | exammarks                      | table | postgres
 public | exammcqanswers                 | table | postgres
 public | examquestionanalyses           | table | postgres
 public | examquestions                  | table | postgres
 public | examquestions_exams            | table | postgres
 public | examresults                    | table | postgres
 public | examresults_students           | table | postgres
 public | examresultsearches             | table | postgres
 public | exams                          | table | postgres
 public | examsearches                   | table | postgres
 public | examsubquestions               | table | postgres
 public | examtemplates                  | table | postgres
 public | grades                         | table | postgres
 public | intakes                        | table | postgres
 public | kins                           | table | postgres
 public | klasses                        | table | postgres
 public | klasses_students               | table | postgres
 public | leaveforstaffs                 | table | postgres
 public | leaveforstudents               | table | postgres
 public | lesson_plan_trainingnotes      | table | postgres
 public | lesson_plans                   | table | postgres
 public | lessonplan_methodologies       | table | postgres
 public | lessonplansearches             | table | postgres
 public | librarytransactions            | table | postgres
 public | librarytransactionsearches     | table | postgres
 public | loans                          | table | postgres
 public | location_damages               | table | postgres
 public | locations                      | table | postgres
 public | logins                         | table | postgres
 public | logins_roles                   | table | postgres
 public | maints                         | table | postgres
 public | marks                          | table | postgres
 public | messages                       | table | postgres
 public | messages_staffs                | table | postgres
 public | pages                          | table | postgres
 public | parts                          | table | postgres
 public | personalizetimetablesearches   | table | postgres
 public | positions                      | table | postgres
 public | postinfos                      | table | postgres
 public | programmes                     | table | postgres
 public | programmes_subjects            | table | postgres
 public | ptbudgets                      | table | postgres
 public | ptcourses                      | table | postgres
 public | ptdos                          | table | postgres
 public | ptschedules                    | table | postgres
 public | qualifications                 | table | postgres
 public | residences                     | table | postgres
 public | resultlines                    | table | postgres
 public | roles                          | table | postgres
 public | rxparts                        | table | postgres
 public | schema_migrations              | table | postgres
 public | scores                         | table | postgres
 public | scsessions                     | table | postgres
 public | shortessays                    | table | postgres
 public | spmresults                     | table | postgres
 public | staff_appraisal_skts           | table | postgres
 public | staff_appraisals               | table | postgres
 public | staff_attendances              | table | postgres
 public | staff_grades                   | table | postgres
 public | staff_shifts                   | table | postgres
 public | staffcourses                   | table | postgres
 public | staffemploygrades              | table | postgres
 public | staffemployschemes             | table | postgres
 public | staffs                         | table | postgres
 public | staffsearch2s                  | table | postgres
 public | staffsearches                  | table | postgres
 public | stationeries                   | table | postgres
 public | stationery_adds                | table | postgres
 public | stationery_uses                | table | postgres
 public | student_attendances            | table | postgres
 public | student_counseling_sessions    | table | postgres
 public | student_discipline_cases       | table | postgres
 public | studentattendances             | table | postgres
 public | studentattendancesearches      | table | postgres
 public | studentcounselingsearches      | table | postgres
 public | studentdisciplinesearches      | table | postgres
 public | students                       | table | postgres
 public | studentsearches                | table | postgres
 public | suppliers                      | table | postgres
 public | tenants                        | table | postgres
 public | timetable_periods              | table | postgres
 public | timetables                     | table | postgres
 public | titles                         | table | postgres
 public | topicdetails                   | table | postgres
 public | trainingnotes                  | table | postgres
 public | trainingreports                | table | postgres
 public | trainingrequests               | table | postgres
 public | trainings                      | table | postgres
 public | trainneeds                     | table | postgres
 public | travel_claim_allowances        | table | postgres
 public | travel_claim_logs              | table | postgres
 public | travel_claim_mileage_rates     | table | postgres
 public | travel_claim_receipts          | table | postgres
 public | travel_claims                  | table | postgres
 public | travel_claims_transport_groups | table | postgres
 public | travel_requests                | table | postgres
 public | traveldetailreceipts           | table | postgres
 public | traveldetails                  | table | postgres
 public | txsupplies                     | table | postgres
 public | users                          | table | postgres
 public | vehicles                       | table | postgres
 public | weeklytimetable_details        | table | postgres
 public | weeklytimetables               | table | postgres
 public | weeklytimetablesearches        | table | postgres
(144 rows)

